"symbol"	"ensemble_ID"	"entrez_ID"	"norm_exp"
"OSBPL7"	"ENSG00000006025"	114881	0.532675347035748
"TMEM98"	"ENSG00000006042"	26022	0.111082949200793
"YBX2"	"ENSG00000006047"	51087	0.128963310306134
"ABCC8"	"ENSG00000006071"	6833	0
"CACNG3"	"ENSG00000006116"	10368	0.0555414746003966
"TMEM132A"	"ENSG00000006118"	54972	0.293559033091817
"AP2B1"	"ENSG00000006125"	163	0.664707406181123
"ZNF263"	"ENSG00000006194"	10127	0.595132677169598
"CX3CL1"	"ENSG00000006210"	6376	0.0555414746003966
"SPATA20"	"ENSG00000006282"	64847	0.506695319357397
"CACNA1G"	"ENSG00000006283"	8913	0.0880311544763851
"TNFRSF12A"	"ENSG00000006327"	51330	0.251245301485661
"DLX6"	"ENSG00000006377"	1750	0
"MAP3K9"	"ENSG00000006432"	4293	0.35112920870772
"RALA"	"ENSG00000006451"	5898	0.519732236986385
"BAIAP2L1"	"ENSG00000006453"	55971	0.329401897195873
"KDM7A"	"ENSG00000006459"	80853	0.593007360274018
"ETV1"	"ENSG00000006468"	2115	0.0880311544763851
"AGK"	"ENSG00000006530"	55750	0.526856947612964
"ALDH3B1"	"ENSG00000006534"	221	0.471650043060094
"TTC22"	"ENSG00000006555"	55001	0.192141933378352
"PHTF2"	"ENSG00000006576"	57157	0.562344518925804
"CCL26"	"ENSG00000006606"	10344	0
"FARP2"	"ENSG00000006607"	9855	0.538390559639224
"USH1C"	"ENSG00000006611"	10083	0
"GGCT"	"ENSG00000006625"	79017	0.480092519013854
"DBF4"	"ENSG00000006634"	10926	0.541661601973917
"TBXA2R"	"ENSG00000006638"	6915	0.380902377250881
"IFRD1"	"ENSG00000006652"	3475	0.621086671951236
"LGALS14"	"ENSG00000006659"	56891	0
"COX10"	"ENSG00000006695"	1352	0.452789921504169
"GTF2IRD1"	"ENSG00000006704"	9569	0.438321304104123
"PAF1"	"ENSG00000006712"	54623	0.579785892538802
"VPS41"	"ENSG00000006715"	27072	0.562738276032504
"ARHGAP44"	"ENSG00000006740"	9912	0.316610827816225
"ELAC2"	"ENSG00000006744"	60528	0.588424410897249
"SCIN"	"ENSG00000006747"	85477	0.0555414746003966
"ARSD"	"ENSG00000006756"	414	0.564469152716583
"PNPLA4"	"ENSG00000006757"	8228	0.316610827816225
"MYH13"	"ENSG00000006788"	8735	0
"ADIPOR2"	"ENSG00000006831"	79602	0.619905722990449
"CDKL3"	"ENSG00000006837"	51265	0.192141933378352
"UPP2"	"ENSG00000007001"	151531	0
"PRSS21"	"ENSG00000007038"	10942	0.128963310306134
"MARK4"	"ENSG00000007047"	57787	0.534473774144538
"PROM1"	"ENSG00000007062"	8842	0.419805832065123
"CCDC124"	"ENSG00000007080"	115098	0.474492584855086
"CEACAM21"	"ENSG00000007129"	90273	0.450937959372789
"PAFAH1B1"	"ENSG00000007168"	5048	0.672143344468838
"NOS2"	"ENSG00000007171"	4843	0.352124617905541
"DNAH9"	"ENSG00000007174"	1770	0.0880311544763851
"KIAA0100"	"ENSG00000007202"	9703	0.699332242130477
"SLC13A2"	"ENSG00000007216"	9058	0
"GAS7"	"ENSG00000007237"	8522	0.673121870455124
"TRAPPC6A"	"ENSG00000007255"	79090	0.455421893272303
"MATK"	"ENSG00000007264"	4145	0.426137817254549
"CEACAM7"	"ENSG00000007306"	1087	0
"CD79B"	"ENSG00000007312"	974	0.684440632970812
"SCN4A"	"ENSG00000007314"	6329	0.3759149377654
"ST7L"	"ENSG00000007341"	54879	0.481482655167383
"TKTL1"	"ENSG00000007350"	8277	0.18450478490653
"PAX6"	"ENSG00000007372"	5080	0.330704843139128
"RPUSD1"	"ENSG00000007376"	113000	0.504804701109078
"RHBDF1"	"ENSG00000007384"	64285	0.289340721789031
"LUC7L"	"ENSG00000007392"	55692	0.625284646850079
"CACNA2D2"	"ENSG00000007402"	9254	0.34268673275396
"BAIAP3"	"ENSG00000007516"	8938	0.359671783874959
"TSR3"	"ENSG00000007520"	115939	0.476507858235878
"PIGQ"	"ENSG00000007541"	9091	0.553353935426832
"TEAD3"	"ENSG00000007866"	7005	0.269819428050087
"SELE"	"ENSG00000007908"	6401	0.0555414746003966
"DNAJC11"	"ENSG00000007923"	55735	0.510416407319135
"FMO3"	"ENSG00000007933"	2328	0
"MYLIP"	"ENSG00000007944"	29116	0.665335093920262
"NOX1"	"ENSG00000007952"	27035	0.0555414746003966
"E2F2"	"ENSG00000007968"	1870	0.662968251663356
"PSMB1"	"ENSG00000008018"	5689	0.605051092036168
"SYN1"	"ENSG00000008056"	6853	0.235936158092253
"JARID2"	"ENSG00000008083"	3720	0.64268587748434
"CDKL5"	"ENSG00000008086"	6792	0.295587734107323
"CAMK1G"	"ENSG00000008118"	57172	0
"CDK11A"	"ENSG00000008128"	728642	0.523081416245816
"NADK"	"ENSG00000008130"	65220	0.590142176396961
"TFAP2B"	"ENSG00000008196"	7021	0
"TFAP2D"	"ENSG00000008197"	83741	0
"DLEC1"	"ENSG00000008226"	9940	0.289340721789031
"CYTH3"	"ENSG00000008256"	9265	0.561695985988365
"ADAM22"	"ENSG00000008277"	53616	0.362328250686454
"SYPL1"	"ENSG00000008282"	6856	0.586430255866313
"CYB561"	"ENSG00000008283"	1534	0.446035094772099
"SPAG9"	"ENSG00000008294"	9043	0.657457414906342
"CELSR3"	"ENSG00000008300"	100616112	0.353594923560474
"AASS"	"ENSG00000008311"	10157	0.488904739112956
"PLEKHG6"	"ENSG00000008323"	55200	0.227023713577371
"SS18L2"	"ENSG00000008324"	51188	0.456907063858171
"MPND"	"ENSG00000008382"	84954	0.444955375125095
"MGST1"	"ENSG00000008394"	4257	0.155924632097761
"CRY1"	"ENSG00000008405"	1407	0.572981488666023
"PGLYRP1"	"ENSG00000008438"	8993	0.16662442380119
"NFIX"	"ENSG00000008441"	4784	0.500496849725492
"ST3GAL1"	"ENSG00000008513"	6482	0.664617333769249
"MMP25"	"ENSG00000008516"	64386	0.378802796611142
"IL32"	"ENSG00000008517"	9235	0.353107813185196
"PKD1"	"ENSG00000008710"	102465429	0.635557955528455
"MAPK8IP2"	"ENSG00000008735"	23542	0.211466106698157
"MED24"	"ENSG00000008838"	102466757	0.598630297131203
"RHOBTB2"	"ENSG00000008853"	23221	0.438825793136579
"HEATR5B"	"ENSG00000008869"	54497	0.611404907456413
"SEC62"	"ENSG00000008952"	7095	0.636573261002553
"CSDE1"	"ENSG00000009307"	7812	0.780240566536228
"UBE3C"	"ENSG00000009335"	9690	0.613346019383253
"REV3L"	"ENSG00000009413"	5980	0.639653664592849
"TENM1"	"ENSG00000009694"	10178	0.362328250686454
"PAX7"	"ENSG00000009709"	5081	0
"MASP2"	"ENSG00000009724"	10747	0.452366328923158
"IYD"	"ENSG00000009765"	389434	0
"FAM76A"	"ENSG00000009780"	199870	0.494199457392984
"TRAF3IP3"	"ENSG00000009790"	80342	0.563484663158736
"POMT2"	"ENSG00000009830"	29954	0.480092519013854
"VTA1"	"ENSG00000009844"	51534	0.546833035592984
"MLXIPL"	"ENSG00000009950"	51085	0.0555414746003966
"BAZ1B"	"ENSG00000009954"	9031	0.664517134418979
"RANBP9"	"ENSG00000010017"	10048	0.641878688095836
"ETV7"	"ENSG00000010030"	51513	0.293559033091817
"SPRTN"	"ENSG00000010072"	83932	0.515660699498005
"METTL13"	"ENSG00000010165"	51603	0.471538674855968
"DYRK4"	"ENSG00000010219"	8798	0.400963265015232
"ZNF207"	"ENSG00000010244"	693217	0.752038677541025
"UQCRC1"	"ENSG00000010256"	7384	0.591774196354956
"STARD3NL"	"ENSG00000010270"	83930	0.545294151890243
"CD9"	"ENSG00000010278"	928	0.646012725012098
"HHATL"	"ENSG00000010282"	57467	0
"NCAPD2"	"ENSG00000010292"	9918	0.613327029121292
"IFFO1"	"ENSG00000010295"	25900	0.519242147324238
"GIPR"	"ENSG00000010310"	2696	0.18450478490653
"PHF7"	"ENSG00000010318"	51533	0.444331796803173
"SEMA3G"	"ENSG00000010319"	56920	0.216994464782519
"NISCH"	"ENSG00000010322"	11188	0.649533970179919
"STAB1"	"ENSG00000010327"	23166	0.488904739112956
